Base ID,Name,Pre-Type,Type,Domains,Rarity,Energy Cost,Power Cost,Might,Rules Text,Champion Tag,Other Tags,Other
OGN-199,Tideturner,,Unit,Chaos,Rare,2,0,2,"[Hidden]
When you play me, you may choose a unit you control at another location. Move me to its location and it to my original location.",,Bilgewater,
OGN-200,"Twisted Fate, Gambler",Champion,Unit,Chaos,Rare,4,0,4,"When I attack, reveal the top rune of your rune deck, then recycle it. Do one of the following based on its domain:
[R] - Deal 2 to an enemy unit here and 1 to all other enemy units here.
[B] - Draw 1.
[Y] - Stun an enemy unit.",Twisted Fate,Bilgewater,
OGN-201,Invert Timelines,,Spell,Chaos,Epic,3,1,,"Each player discards their hand, then draws 4.",,,
OGN-202,"Jinx, Rebel",Champion,Unit,Chaos,Epic,5,1,5,"When you discard one or more cards, ready me and give me +1 [M] this turn.",Jinx,Zaun,
OGN-203,Possession,,Spell,Chaos,Epic,8,3,,"[Action]
Choose an enemy unit at a battlefield. Take control of it and recall it.",,,
OGN-204,Seal of Discord,,Gear,Chaos,Epic,0,1,,[E]: [Reaction] — [Add] [C].,,,
OGN-205,"Yasuo, Windrider",Champion,Unit,Chaos,Epic,5,1,4,"[Ganking]
The third time I move in a turn, you score 1 point.",Yasuo,Ionia,
OGN-206,Back to Back,,Spell,Order,Common,3,0,,"[Reaction]
Give two friendly units each +2 [M] this turn.",,,
OGN-207,Call to Glory,,Spell,Order,Common,3,0,,"[Reactton]
As you play this, you may spend a buff as an addtional cost. If you do, ignore this spell's cost.",,,
OGN-208,Cruel Patron,,Unit,Order,Common,4,0,6,"As an additional cost to play me, kill a friendly unit.",,Noxus,
OGN-209,Cull the Weak,,Spell,Order,Common,2,1,,Each player kills one of their units.,,,
OGN-210,Daring Poro,,Unit,Order,Common,2,0,2,[Assault],,Poro,
OGN-211,Faithful Manufactor,,Unit,Order,Common,3,0,2,"When you play me, play a 1 [M] Recruit unit token here.",,Piltover,
OGN-212,Forge of the Future,,Gear,Order,Common,2,0,,"When you play this, play a 1 [M] Recruit unit token at your base.
Kill this: Recycle up to 4 cards from trashes.",,,
OGN-213,Hidden Blade,,Spell,Order,Common,2,1,,"[Hidden]
[Action]
Kill a unit at a battlefield. Its controller draws 2.",,,
OGN-214,Order Rune,,Rune,Order,Common,,,,,,,
OGN-215,Petty Officer,,Unit,Order,Common,5,0,5,[Assault],,"Bilgewater, Pirate",
OGN-216,Soaring Scout,,Unit,Order,Common,2,0,1,[Deathknell] — Channel 1 rune exhausted.,,"Freljord, Bird",
OGN-217,Trifarian Gloryseeker,,Unit,Order,Common,2,0,2,"[Legion] — When you play me, buff me.",,"Noxus, Trifarian",
OGN-218,Vanguard Captain,,Unit,Order,Common,3,1,3,"[Legion] — When you play me, play two 1 [M] Recruit unit tokens here.",,"Demacia, Elite",
OGN-219,Vanguard Sergeant,,Unit,Order,Common,4,0,4,,,"Demacia, Elite",
OGN-220,Facebreaker,,Spell,Order,Uncommon,2,0,,"[Hidden]
[Action]
Stun a friendly unit and an enemy unit at the same battlefield.",,,
OGN-221,Imperial Decree,,Spell,Order,Uncommon,5,2,,"[Action]
When any unit takes damage this turn, kill it.",,,
OGN-222,Noxian Drummer,,Unit,Order,Uncommon,3,0,3,"When I move to a battlefield, play a 1 [M] Recruit unit token here.",,"Noxus, Trifarian",
OGN-223,Peak Guardian,,Unit,Order,Uncommon,6,1,5,"When you play me, buff me. Then, if I am at a battlefield, buff all other friendly units there.",,Mount Targon,
OGN-224,Salvage,,Spell,Order,Uncommon,2,1,,"[Action]
You may kill a gear. Draw 1.",,,
OGN-225,Solari Chief,,Unit,Order,Uncommon,5,1,4,"When you play me, choose an enemy unit. If it is stunned, kill it. Otherwise, stun it.",,Mount Targon,
OGN-226,Spectral Matron,,Unit,Order,Uncommon,4,2,4,"When you play me, you may play a unit costing no more than [3] and no more than [A] from your trash, ignoring its cost.",,"Shadow Isles, Spirit",
OGN-227,Symbol of the Solari,,Gear,Order,Uncommon,1,0,,"If a combat where you are the attacker ends in a tie that would recall any of your units, recall all units at that battlefield instead.",,,
OGN-228,Vanguard Helm,,Gear,Order,Uncommon,2,0,,"When a buffed friendly unit dies, buff another friendly unit.",,,
OGN-229,Vengeance,,Spell,Order,Uncommon,4,2,,Kill a unit.,,,
OGN-230,Albus Ferros,,Unit,Order,Rare,4,0,3,"When you play me, spend any number of buffs. For each buff spent, channel 1 rune exhausted.",,Piltover,
OGN-231,Commander Ledros,,Unit,Order,Rare,6,4,8,"As you play me, you may kill any number of friendly units as an additional cost. Reduce my cost by [C] for each killed this way.
[Deflect]
[Ganking]",,"Shadow Isles, Spirit",
OGN-232,"Fiora, Victorious",Champion,Unit,Order,Rare,4,0,4,"While I'm [Mighty], I have [Deflect], [Ganking], and [Shield].",Fiora,Demacia,
OGN-233,Grand Strategem,,Spell,Order,Rare,6,3,,"[Action]
Give friendly units +5 [M] this turn.",,,
OGN-234,Harnessed Dragon,,Unit,Order,Rare,8,2,6,"When you play me, kill an enemy unit.",,"Demacia, Dragon",
OGN-235,"Karma, Channeler",Champion,Unit,Order,Rare,6,1,6,"[Vision]
When you recycle one or more cards to your Main Deck, buff a friendly unit.",Karma,Ionia,
OGN-236,"Karthus, Eternal",Champion,Unit,Order,Rare,3,1,3,Your [Deathknell] effects trigger an additional time.,Karthus,"Shadow Isles, Spirit",
OGN-237,King's Edict,,Spell,Order,Rare,6,2,,"Starting with the next player, each other player chooses a unit you don't control that hasn't been chosen for this spell. Kill those units.",,,
OGN-238,"Leona, Determined",Champion,Unit,Order,Rare,4,1,4,"[Shield]
When I attack, stun an enemy unit here.",Leona,Mount Targon,
OGN-239,Machine Evangel,,Unit,Order,Rare,5,1,4,[Deathknell] — Play three 1 [M] Recruit unit tokens into your base.,,Piltover,
OGN-240,"Sett, Kingpin",Champion,Unit,Order,Rare,4,1,5,"[Tank]
I get +1 [M] for each buffed friendly unit at my battlefield.",Sett,Ionia,
OGN-241,"Shen, Kinkou",Champion,Unit,Order,Rare,3,1,3,"[Reaction]
[Shield 2]
[Tank]",Shen,Ionia,
OGN-242,Baited Hook,,Gear,Order,Epic,3,0,,"[1][C], [E]: Kill a friendly unit. Look at the top 5 cards of your Main Deck. You may banish a unit from among them that has Might up to 1 more than the killed unit and play it, ignoring its cost. Then recycle the rest.",,,
OGN-243,"Darius, Executioner",Champion,Unit,Order,Epic,6,1,6,"[Legion] — When you play me, ready me.
Other friendly units have +1 [M] here.",Darius,"Noxus, Trifarian",
OGN-244,Divine Judgement,,Spell,Order,Epic,7,2,,"Each player chooses 2 units, 2 gear, 2 runes, and 2 cards in their hands. Recycle the rest.",,,
OGN-245,Seal of Unity,,Gear,Order,Epic,0,1,,[E]: [Reaction] — [Add] [C].,,,
OGN-246,"Viktor, Leader",Champion,Unit,Order,Epic,4,1,4,"When another non-Recruit unit you control dies, play a 1 [M] Recruit unit token into your base.",Viktor,Zaun,
OGN-247,"Kai'Sa, Daughter of the Void",,Legend,"Fury, Mind",Rare,,,,[E]: [Reaction] — [Add] [A]. Use only to play spells.,,,
OGN-248,Icathian Rain,Signature,Spell,"Fury, Mind",Epic,7,3,,"Do this 6 times:
Deal 2 to a unit.",Kai'Sa,,
OGN-249,"Volibear, Relentless Storm",,Legend,"Fury, Body",Rare,,,,"When you play a [Mighty] unit,l you may exhaust me to channel 1 rune exhausted.",,,
OGN-250,Stormbringer,Signature,Spell,"Fury, Body",Epic,6,2,,"Choose a friendly unit in your base. Deal damage equal to its Might to all enemy units at a battlefield, then move your unit there.",,,
OGN-251,"Jinx, Loose Cannon",,Legend,"Fury, Chaos",Rare,,,,"At start of your Beginning Phase, draw 1 if you have one or fewer cards in your hand.",,,
OGN-252,Super Mega Death Rocket!,Signature,Spell,"Fury, Chaos",Epic,4,1,,"Deal 5 to a unit.
When you conquer, you may discard 1 to return this from your trash to your hand.",,,
OGN-253,"Darius, Hand of Noxus",,Legend,"Fury, Order",Rare,,,,"[E]: [Reaction], [Legion] — [Add] [1].",,,
OGN-254,Noxian Guillotine,Signature,Spell,"Fury, Order",Epic,4,1,,"[Action]
Choose a unit. Kill it the next time it takes damage this turn.
[Legion] — Kill it now instead.",,,
OGN-255,"Ahri, Nine-Tailed Fox",,Legend,"Calm, Mind",Rare,,,,"When an enemy unit attacks a battlefield you control, give it -1 [M] this turn, to a minimum of 1 [M].",,,
OGN-256,Fox-Fire,Signature,Spell,"Calm, Mind",Epic,3,0,,"[Hidden]
[Action]
Kill any number of units at a battlefield with total Might 4 or less.",,,
OGN-257,"Lee Sin, Blind Monk",,Legend,"Calm, Body",Rare,,,,"[1], [E]: Buff a friendly unit.",,,
OGN-258,Dragon's Rage,Signature,Spell,"Calm, Body",Epic,4,1,,Move an enemy unit. Then do this: Choose another enemy unit at its destination. They deal damage equal to their Mights to each other.,,,
OGN-259,"Yasuo, Unforgiven",,Legend,"Calm, Chaos",Rare,,,,"[2], [E]: Move a friendly unit to or from its base.",,,
OGN-260,Last Breath,Signature,Spell,"Calm, Chaos",Epic,3,2,,"[Action]
Ready a friendly unit. It deals damage equal to its Might to an enemy unit at a battlefield.",,,
OGN-261,"Leona, Radiant Dawn",,Legend,"Calm, Order",Rare,,,,"When you stun one or more enemy units, buff a friendly unit.",,,
OGN-262,Zenith Blade,Signature,Spell,"Calm, Order",Epic,3,2,,"[Action]
Stun an enemy unit at a battlefield. You may move a friendly unit to that enemy unit's battlefield.",,,
OGN-263,"Teemo, Swift Scout",,Legend,"Mind, Chaos",Rare,,,,"You may pay [1] to hide a card with [Hidden] instead of [A].
[1], [E]: Put a Teemo unit you own into your hand from your Champion Zone or the board.",,,
OGN-264,Guerilla Warfare,Signature,Spell,"Mind, Chaos",Epic,2,1,,Return up to two cards with [Hidden] from your trash to your hand. You can hide ignoring costs this turn.,,,
OGN-265,"Viktor, Herald of the Arcane",,Legend,"Mind, Order",Rare,,,,"[1], [E]: Play a 1 [M] Recruit unit token.",,,
OGN-266,Siphon Power,Signature,Spell,"Mind, Order",Epic,2,1,,"[Reaction]
Choose a battlefield. Give friendly units there +1 [M] this turn and enemy units there -1 [M] this turn, to a minimum of 1 [M].",,,
OGN-267,"Miss Fortune, Bounty Hunter",,Legend,"Body, Chaos",Rare,,,,[E]: Give a unit [Ganking] this turn.,,,
OGN-268,Bullet Time,Signature,Spell,"Body, Chaos",Epic,1,0,,"[Action]
Pay any amount of [A] to deal that much damage to all enemy units at a battlefield.",,,
OGN-269,"Sett, the Boss",,Legend,"Body, Order",Rare,,,,"If a buffed unit you control would die, you may pay [C], exhaust me, and spend its buff to heal it, exhaust it, and recall it instead.
When you conquer, ready me.",,,
OGN-270,Showstopper,Signature,Spell,"Body, Order",Epic,1,1,,"Buff a friendly unit in your base, then move it to a battlefield.",,,
OGN-271,Recruit,Token,Unit,,Common,,,1,,,Recruit,
OGN-272,Recruit,Token,Unit,,Common,,,1,,,Recruit,
OGN-273,Recruit,Token,Unit,,Common,,,1,,,Recruit,
OGN-274,Sprite,Token,Unit,,Common,,,3,[Temporary],,Fae,
OGN-275,Altar to Unity,,Battlefield,,Uncommon,,,,"When you hold here, play a 1 [M] Recruit unit token in your base.",,,
OGN-276,Aspirant's Climb,,Battlefield,,Uncommon,,,,Increase the points needed to win the game by 1.,,,
OGN-277,Back-Alley Bar,,Battlefield,,Uncommon,,,,"When a unit moves from here, give it +1 [M] this turn.",,,
OGN-278,Bandle Tree,,Battlefield,,Uncommon,,,,You may hide an additional card here.,,,
OGN-279,Fortified Position,,Battlefield,,Uncommon,,,,"When you defend here, choose a unit. It gains [Shield 2] this combat.",,,
OGN-280,Grove of the God-Willow,,Battlefield,,Uncommon,,,,"When you hold here, draw 1.",,,
OGN-281,Hallowed Tomb,,Battlefield,,Uncommon,,,,"When you hold here, you may return your Chosen Champion from your trash to your Champion Zone if it is empty.",,,
OGN-282,Monastery of Hirana,,Battlefield,,Uncommon,,,,"When you conquer here, you may spend a buff to draw 1.",,,
OGN-283,Navori Fighting Pit,,Battlefield,,Uncommon,,,,"When you hold here, buff a unit here.",,,
OGN-284,Obelisk of Power,,Battlefield,,Uncommon,,,,"At the start of each player's first Beginning Phase, that player channels 1 rune.",,,
OGN-285,Reaver's Row,,Battlefield,,Uncommon,,,,"When you defend here, you may move a friendly unit here to base.",,,
OGN-286,Reckoner's Arena,,Battlefield,,Uncommon,,,,"When you hold here, activate the conquer effects of units here.",,,
OGN-287,Sigil of the Storm,,Battlefield,,Uncommon,,,,"When you conquer here, you must recycle one of your runes.",,,
OGN-288,Startipped Peak,,Battlefield,,Uncommon,,,,"When you hold here, you may channel 1 rune exhausted.",,,
OGN-289,Targon's Peak,,Battlefield,,Uncommon,,,,"When you conquer here, ready up to 2 runes at the end of this turn.",,,
OGN-290,The Arena's Greatest,,Battlefield,,Uncommon,,,,"At the start of each player's first Beginning Phase, that player gains 1 point.",,,
OGN-291,The Candlelit Sanctum,,Battlefield,,Uncommon,,,,"When you conquer here, look at the top two cards of your Main Deck. You may recycle one or both of them. Put those you don't back in any order.",,,
OGN-292,The Dreaming Tree,,Battlefield,,Uncommon,,,,"The first time you choose a friendly unit with a spell here each turn, draw 1.",,,
OGN-293,The Grand Plaza,,Battlefield,,Uncommon,,,,"When you hold here, if you have 7+ units here, you win the game.",,,
OGN-294,Trifarian War Camp,,Battlefield,,Uncommon,,,,Units here have +1 [M].,,,
OGN-295,Vilemaw's Lair,,Battlefield,,Uncommon,,,,Units can't move from here to base.,,,
OGN-296,Void Gate,,Battlefield,,Uncommon,,,,Spells and abilities deal 1 Bonus Damage to units here.,,,
OGN-297,Windswept Hillock,,Battlefield,,Uncommon,,,,Units here have [Ganking].,,,
OGN-298,Zaun Warrens,,Battlefield,,Uncommon,,,,"When you conquer here, discard 1, then draw 1.",,,
OGS-001,"Annie, Fiery",Champion,Unit,Fury,Epic,5,1,,Your spells and abilities deal 1 Bonus Damage.,Annie,Noxus,
OGS-002,Firestorm,,Spell,Fury,Uncommon,6,1,,Deal 3 to all enemy units at a battlefield.,,,
OGS-003,Incinerate,,Spell,Fury,Common,2,0,,"[Action]
Deal 2 to a unit at a battlefield.",,,
OGS-004,"Master Yi, Meditative",Champion,Unit,Calm,Epic,5,1,,"While you have 8+ runes, I have +4 [M].",Master Yi,Ionia,
OGS-005,Zephyr Sage,,Unit,Calm,Uncommon,6,1,,[Shield],,"Ionia, Bird",
OGS-006,"Lux, Illuminated",Champion,Unit,Mind,Rare,6,1,,"When you play a spell that costs [5] or more, give me +3 [M] this turn.",Lux,Demacia,
OGS-007,"Garen, Rugged",Champion,Unit,Body,Rare,6,1,,"[Assault 2], [Shield 2]",Garen,"Demacia, Elite",
OGS-008,Gentlemen's Duel,,Spell,Body,Common,6,1,,"[Action]
Give a friendly unit +3 [M] this turn. Then choose an enemy unit. They deal damage equal to their Mights to each other.",,,
OGS-009,"Master Yi, Honed",Champion,Unit,Body,Epic,7,1,,"[Ganking]
I enter ready.",Master Yi,Ionia,
OGS-010,"Annie, Stubborn",Champion,Unit,Chaos,Rare,4,1,,"When you play me, return a spell from your trash to your hand.",Annie,Noxus,
OGS-011,Flash,,Spell,Chaos,Common,2,0,,"[Reaction]
Move up to 2 friendly units to base.",,,
OGS-012,Blast of Power,,Spell,Order,Common,6,1,,"[Action]
Kill a unit at a battlefield.",,,
OGS-013,"Garen, Commander",Champion,Unit,Order,Epic,6,1,,Other friendly units have +1 [M] here.,Garen,"Demacia, Elite",
OGS-014,"Lux, Crownguard",Champion,Unit,Order,Epic,4,0,,[E]: [Reaction] — [Add] [2]. Use only to play spells.,Lux,Demacia,
OGS-015,Recruit the Vanguard,,Spell,Order,Uncommon,6,0,,"[Action]
Play four 1 [M] Recruit unit tokens.",,,
OGS-016,Vanguard Attendant,,Unit,Order,Common,6,1,,I enter ready.,,"Demacia, Elite",
OGS-017,"Annie, Dark Child",,Legend,"Fury, Chaos",Rare,,,,"At the end of your turn, ready up to 2 runes.",Annie,,
OGS-018,Tibbers,Signature,Unit,"Fury, Chaos",Epic,8,2,,"When you play me, deal 3 to all units at battlefields.",Annie,,
OGS-019,"Master Yi, Wuju Bladesman",,Legend,"Calm, Body",Rare,,,,"While a friendly unit defends alone, it gets +2 [M].",Master Yi,,
OGS-020,Highlander,Signature,Spell,"Calm, Body",Epic,4,0,,"[Reaction]
Choose a friendly unit. The next time it dies this turn, heal it, exhaust it, and recall it instead.",Master Yi,,
OGS-021,"Lux, Lady of Luminosity",,Legend,"Mind, Order",Rare,,,,"When you play a spell that costs [5] or more, draw 1.",Lux,,
OGS-022,Final Spark,Signature,Spell,"Mind, Order",Epic,8,0,,"[Action]
Deal 8 to a unit.",Lux,,
OGS-023,"Garen, Might of Demacia",,Legend,"Body, Order",Rare,,,,"When you conquer, if you have 4+ units at that battlefield, draw 2.",Garen,,
OGS-024,Decisive Strike,Signature,Spell,"Body, Order",Epic,5,1,,"[Action]
Give friendly units +2 [M] this turn.",Garen,,
