ID,Base ID,TTS ID,Rarity,Base Card Name,Notes,Alter Flavor?,Altered Flavor Text
OGN-078a,OGN-078,OGN-078-2,Showcase,"Lee Sin, Ascetic",Alt Art,FALSE,
OGN-079a,OGN-079,OGN-079-2,Showcase,"Leona, Zealot",Alt Art,FALSE,
OGN-089a,OGN-089,OGN-089-2,Showcase,Mind Rune,Alt Art,FALSE,
OGN-089b,OGN-089,OGN-089-3,Showcase,Mind Rune,Nexus Night,FALSE,
OGN-112a,OGN-112,OGN-112-2,Showcase,"Kai'Sa, Evolutionary",Alt Art,FALSE,
OGN-117a,OGN-117,OGN-117-2,Showcase,"Viktor, Innovator",Alt Art,FALSE,
OGN-119a,OGN-119,OGN-119-2,Showcase,"Ahri, Inquisitive",Alt Art,FALSE,
OGN-121a,OGN-121,OGN-121-2,Showcase,"Teemo, Strategist",Alt Art,FALSE,
OGN-126a,OGN-126,OGN-126-2,Showcase,Body Rune,Alt Art,FALSE,
OGN-126b,OGN-126,OGN-126-3,Showcase,Body Rune,Nexus Night,FALSE,
OGN-151a,OGN-151,OGN-151-2,Showcase,"Lee Sin, Centered",Alt Art,FALSE,
OGN-158a,OGN-158,OGN-158-2,Showcase,"Volibear, Imposing",Alt Art,FALSE,
OGN-162a,OGN-162,OGN-162-2,Showcase,"Miss Fortune, Captain",Alt Art,FALSE,
OGN-164a,OGN-164,OGN-164-2,Showcase,"Sett, Brawler",Alt Art,FALSE,
OGN-166a,OGN-166,OGN-166-2,Showcase,Chaos Rune,Alt Art,FALSE,
OGN-166b,OGN-166,OGN-166-3,Showcase,Chaos Rune,Nexus Night,FALSE,
OGN-193a,OGN-193,OGN-193-2,Showcase,"Miss Fortune, Buccaneer",Alt Art,FALSE,
OGN-197a,OGN-197,OGN-197-2,Showcase,"Teemo, Scout",Alt Art,FALSE,
OGN-202a,OGN-202,OGN-202-2,Showcase,"Jinx, Rebel",Alt Art,FALSE,
OGN-205a,OGN-205,OGN-205-2,Showcase,"Yasuo, Windrider",Alt Art,FALSE,
OGN-214a,OGN-214,OGN-214-2,Showcase,Order Rune,Alt Art,FALSE,
OGN-214b,OGN-214,OGN-214-2,Showcase,Order Rune,Nexus Night,FALSE,
OGN-238a,OGN-238,OGN-238-2,Showcase,"Leona, Determined",Alt Art,FALSE,
OGN-240a,OGN-240,OGN-240-2,Showcase,"Sett, Kingpin",Alt Art,FALSE,
OGN-243a,OGN-243,OGN-243-2,Showcase,"Darius, Executioner",Alt Art,FALSE,
OGN-246a,OGN-246,OGN-246-2,Showcase,"Viktor, Leader",Alt Art,FALSE,
OGN-299,OGN-247,OGN-247-2,Showcase,"Kai'Sa, Daughter of the Void",Overnumbered,FALSE,
OGN-299*,OGN-247,OGN-247-3,Showcase,"Kai'Sa, Daughter of the Void",ON Signed,FALSE,
OGN-300,OGN-249,OGN-249-2,Showcase,"Volibear, Relentless Storm",Overnumbered,FALSE,
OGN-300*,OGN-249,OGN-249-3,Showcase,"Volibear, Relentless Storm",ON Signed,FALSE,
OGN-301,OGN-251,OGN-251-2,Showcase,"Jinx, Loose Cannon",Overnumbered,FALSE,
OGN-301*,OGN-251,OGN-251-3,Showcase,"Jinx, Loose Cannon",ON Signed,FALSE,
OGN-302,OGN-253,OGN-253-2,Showcase,"Darius, Hand of Noxus",Overnumbered,FALSE,
OGN-302*,OGN-253,OGN-253-3,Showcase,"Darius, Hand of Noxus",ON Signed,FALSE,
OGN-303,OGN-255,OGN-255-2,Showcase,"Ahri, Nine-Tailed Fox",Overnumbered,FALSE,
OGN-303*,OGN-255,OGN-255-3,Showcase,"Ahri, Nine-Tailed Fox",ON Signed,FALSE,
OGN-304,OGN-257,OGN-257-2,Showcase,"Lee Sin, Blind Monk",Overnumbered,FALSE,
OGN-304*,OGN-257,OGN-257-3,Showcase,"Lee Sin, Blind Monk",ON Signed,FALSE,
OGN-305,OGN-259,OGN-259-2,Showcase,"Yasuo, Unforgiven",Overnumbered,FALSE,
OGN-305*,OGN-259,OGN-259-3,Showcase,"Yasuo, Unforgiven",ON Signed,FALSE,
OGN-306,OGN-261,OGN-261-2,Showcase,"Leona, Radiant Dawn",Overnumbered,FALSE,
OGN-306*,OGN-261,OGN-261-3,Showcase,"Leona, Radiant Dawn",ON Signed,FALSE,
OGN-307,OGN-263,OGN-263-2,Showcase,"Teemo, Swift Scout",Overnumbered,FALSE,
OGN-307*,OGN-263,OGN-263-3,Showcase,"Teemo, Swift Scout",ON Signed,FALSE,
OGN-308,OGN-265,OGN-265-2,Showcase,"Viktor, Herald of the Arcane",Overnumbered,FALSE,
OGN-308*,OGN-265,OGN-265-3,Showcase,"Viktor, Herald of the Arcane",ON Signed,FALSE,
OGN-309,OGN-267,OGN-267-2,Showcase,"Miss Fortune, Bounty Hunter",Overnumbered,FALSE,
OGN-309*,OGN-267,OGN-267-3,Showcase,"Miss Fortune, Bounty Hunter",ON Signed,FALSE,
OGN-310,OGN-269,OGN-269-2,Showcase,"Sett, the Boss",Overnumbered,FALSE,
OGN-310*,OGN-269,OGN-269-3,Showcase,"Sett, the Boss",ON Signed,FALSE,
