ID,Name,Supertype,Type,Domains,Rarity,Energy Cost,Power Cost,Might,Rules Text,Effect Text,Champion Tag,Other Tags,Flavor Text,Has Errata
VEN-137,Shady Spectacles,,Gear,Order,Epic,4,,,"[Equip] [1][Y]
As this is attached to a unit, choose another friendly unit. The equipped unit becomes a copy of that unit for as long as this is attached to it.",[M]+0,,Equipment,,FALSE
VEN-138,"Shen, Leader of the Kinkou Order",Champion,Unit,Order,Epic,6,2,7,"[Shield]
When I hold, if there is exactly one other unit you control here, you score 1 point.",,Shen,Ionia,"""There is no dispute.""",FALSE
VEN-139,"Akali, Rogue Assassin",,Legend,"Fury, Calm",Rare,,,,"[Empower] [3][A]
[Action][>] [E]: If it's your turn, move a friendly unit in a showdown to base and if I'm [Empowered] ready it.",,Akali,,,FALSE
VEN-140,Shuriken Flip,Signature,Spell,"Fury, Calm",Epic,1,1,,"Deal 2 to up to one enemy unit at a battlefield, the move a friendly unit.
[Flow] [3][A]",,Akali,,"""They can't stop me. I mean, they can try.""
—Akali",FALSE
VEN-141,"Renekton, Butcher of the Sands",,Legend,"Fury, Body",Rare,,,,"[Reaction][>] [A][A], [E]: [Add] [2]. Spend this Energy only to play units or activated abilities of units.",,Renekton,,,FALSE
VEN-142,Dominus,Signature,Spell,"Fury, Body",Epic,4,,,"[Action]
This turn, double a unit's Might and give it ""[A][A]: Ready me.""",,Renekton,,"""Now you will know agony!""
—Renekton",FALSE
VEN-143,"Zed, Master of Shadows",,Legend,"Fury, Chaos",Rare,,,,"When you banish a card you own, empower me.
[Action][>] Disempower me, [E]: Discard 1, then draw 1.",,Zed,,,
VEN-144,Death Mark,Signature,Spell,"Fury, Chaos",Epic,2,1,,"[Burn 3].
Play a 0[M] Shadow Clone unit token.
[Flow] [1][A][A]",,Zed,,,FALSE
VEN-145,"Nasus, Curator of the Sands",,Legend,"Calm, Mind",Rare,,,,"When you play a unit, gear, or activated ability with Energy cost [7] or more, you may exhaust me to ready up to 2 runes.",,Nasus,,,FALSE
VEN-146,Siphoning Strike,Signature,Spell,"Calm, Mind",Epic,4,,,"Deal 4 to a unit at a battlefield. If you control 7 or more runes, deal 7 to it instead. When it dies this turn, channel 1 rune exhausted.",,Nasus,,"""Your spirit is hollow.""
—Nasus",FALSE
VEN-147,"Shen, Eye of Twilight",,Legend,"Calm, Order",Rare,,,,[Action][>] [E]: Give a friendly unit [Tank] this turn.,,Shen,,,FALSE
VEN-148,Shadow Dash,Signature,Spell,"Calm, Order",Epic,2,1,,"Move an enemy unit to a battlefield where you have units. If you have exactly two units there, they each get +1[M] this turn.
[Flow] [5][A][A]",,Shen,,"""Tread carefully.""
—Shen",FALSE
VEN-149,"Jayce, Defender of Tomorrow",,Legend,"Mind, Body",Rare,,,,"[Empower] [2][A][A]
[1], [E]: Ready a gear.
[Empowered][>]: [1], [E]: Ready 2 gear.",,Jayce,,,FALSE
VEN-150,Acceleration Gate,Signature,Spell,"Mind, Body",Epic,3,1,,"Ready up to 4 units, gear, and/or runes.",,Jayce,,"""Energize!""
—Jayce",FALSE
VEN-151,"Mel, Soul's Reflection",,Legend,"Mind, Chaos",Rare,,,,"When you empower something else, empower me.
Disempower me, [E]: Give a unit at a battlefield -2[M] this turn.",,Mel,,,FALSE
VEN-152,Rebuttal,Signature,Spell,"Mind, Chaos",Epic,1,1,,"[Reaction]
Choose a spell with Energy cost no more than [4]. You may pay [A]. If you do, gain control of it and you may make new choices for it. Otherwise, counter it.",,Mel,,"""A paradigm shift!"" — Mel",FALSE
VEN-153,"Ambessa, Matriarch of War",,Legend,"Body, Order",Rare,,,,"When you empower something else, empower me.
Disempower me, [A], [E]: Ready a unit.",,Ambessa,,,FALSE
VEN-154,Public Execution,Signature,Spell,"Body, Order",Epic,2,1,,"Choose a friendly unit. Kill an enemy unit with lower might than it.
[Flow] [5][A][A]",,Ambessa,,"""This ends in ruin!""
—Ambessa",FALSE
VEN-155,"Kennen, Heart of the Tempest",,Legend,"Chaos, Order",Rare,,,,"When you play a card from anywhere other than your hand, empower me.
[Action][>] Disempower me, [E]: Give a unit [Assault 2] this turn.",,Kennen,,,FALSE
VEN-156,Lightning Rush,Signature,Spell,"Chaos, Order",Epic,1,,,"Look at the top 3 cards of your deck. You may choose a card from among them and draw it. Put the rest into your trash.
[Flow] [2][A]",,Kennen,,"""I am the wind!"" —Kennen",FALSE
VEN-157,Dragon Roost,,Battlefield,,Uncommon,,,,"Any player may pay [A][A] as an additional cost to play a Dragon. If they do, they play it to this battlefield.",,,,,FALSE
VEN-158,"Heisho, Shell of the World",,Battlefield,,Uncommon,,,,Players ignore [Deflect] while paying for spells and abilities choosing something here.,,,,,FALSE
VEN-159,Kinkou Temple,,Battlefield,,Uncommon,,,,Units here with [Tank] have +1[M].,,,,,FALSE
VEN-160,Mystic Vortex,,Battlefield,,Uncommon,,,,"During showdowns here, [Reaction] cards cost [A] more to play.",,,,,FALSE
VEN-161,Piltovan Forge,,Battlefield,,Uncommon,,,,"While you control this battlefield, the first friendly gear activated ability played each turn costs [1] less.",,,,,FALSE
VEN-162,Protective Sands,,Battlefield,,Uncommon,,,,"When you conquer here, if you control 4 or fewer runes, you may pay [1] to draw 1.",,,,,FALSE
VEN-163,Risen Altar,,Battlefield,,Uncommon,,,,[Empower] costs of your units here cost [1] or [A] less.,,,,,FALSE
VEN-164,Sandswept Tomb,,Battlefield,,Uncommon,,,,Each spell that chooses one or more units here that are friendly to it costs [A] less.,,,,,FALSE
VEN-165,Shadow Temple,,Battlefield,,Uncommon,,,,"When you hold here, [Burn 3].",,,,,FALSE
VEN-166,Threshold of the Gray,,Battlefield,,Uncommon,,,,"When combat starts here, the attacker and defender each [Add] [1].",,,,,FALSE
VEN-T01,Empowered,,,,,,,,"Use to mark legends, units, and gear that are [Empowered].",,,,,FALSE
VEN-T02,temp,,,,,,,,,,,,,FALSE
VEN-T04,Recruit,Token,Unit,,Common,,,1,,,,Recruit,"""Few earn the right to call themselves Trifarian.""",FALSE
VEN-T05,Shadow Clone,Token,Unit,,,,,0,"When I attack, you may banish a unit from your trash. If you do, give me [Assault 4] this turn.",,,,,FALSE
VEN-T06,Tentacle,Token,Unit,,,,,1,,,,Bilgewater,An extension of the will of Nagakabouros.,FALSE
